"state","school_name","district","address","latitude","longitude","overall_score","state_rank","national_rank","ap_taken_pct","ap_passed_pct","math_proficiency","reading_proficiency","science_proficiency","graduation_rate","graduation_rate_raw","year","source_url"
"California","Round Valley High School","Round Valley Unified School District","Howard And High Sts., Covelo, California 95428",39.794061963567,-123.255652406309,,,,,,,,,56,"56%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/round-valley-unified-school-district/round-valley-high-school-3149"
"California","West Park High","Roseville Joint Union High","2401 Panther Pl., Roseville, California 95747",38.786854167374,-121.373281462759,79.78,492,3619,54,32,30,66,55,98,"98%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/roseville-joint-union-high/west-park-high-409859"
"California","Roseville High School","Roseville Joint Union High","1 Tiger Way, Roseville, California 95678",38.757860017362,-121.276200023143,62.35,804,6740,34,20,27,61,38,91,"91%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/roseville-joint-union-high/roseville-high-school-3145"
"California","Round Valley Continuation","Round Valley Unified School District","76270 High School St., Covelo, California 95428",39.792347640066,-123.255856833295,,,,,,,,,82,"82%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/round-valley-unified-school-district/round-valley-continuation-3150"
"California","Riverside County Juvenile Court","Riverside County Office of Education","3939 13th St., Riverside, California 92502",33.978518670508,-117.38054530252,,,,,,,,,42,"42%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/riverside-county-office-of-education/riverside-county-juvenile-court-3799"
"California","Riverside County Special Education","Riverside County Office of Education","3939 13th St., Riverside, California 92502",33.978518670508,-117.38054530252,,,,,,,,,24,"24%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/riverside-county-office-of-education/riverside-county-special-education-138377"
"California","River Springs Charter","River Springs Charter District","27740 Jefferson Ave., Temecula, California 92590",33.511156962442,-117.157763137724,29.43,1251,12632,,,14,65,29,93,"93%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/river-springs-charter-district/river-springs-charter-91568"
"California","Independence High (Alternative)","Roseville Joint Union High","125 Berry St., Roseville, California 95678",38.757929495947,-121.275055815913,,,,,,14,44,19,80,"80%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/roseville-joint-union-high/independence-high-alternative-3147"
"California","Woodcreek High School","Roseville Joint Union High","2551 Woodcreek Oaks Blvd., Roseville, California 95747",38.767007659154,-121.330033213314,77.92,530,3953,45,31,33,69,42,95,"95%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/roseville-joint-union-high/woodcreek-high-school-3142"
"California","Riverside County Community","Riverside County Office of Education","3939 13th St., Riverside, California 92501",33.978518670508,-117.38054530252,,,,,,,,,21,"21%","2025-2026","https://www.usnews.com/education/best-high-schools/california/districts/riverside-county-office-of-education/riverside-county-community-3801"
